code,name,market,sector
1301,極洋,プライム（内国株式）,水産・農林業
2158,ＦＲＯＮＴＥＯ,グロース（内国株式）,サービス業
2413,エムスリー,プライム（内国株式）,サービス業
2929,ファーマフーズ,プライム（内国株式）,食料品
3697,ＳＨＩＦＴ,プライム（内国株式）,情報・通信業
3993,ＰＫＳＨＡ,プライム（内国株式）,情報・通信業
4063,信越化学工業,プライム（内国株式）,化学
4180,Ａｐｐｉｅｒ,プライム（内国株式）,情報・通信業
4443,Ｓａｎｓａｎ,プライム（内国株式）,情報・通信業
4478,フリー,グロース（内国株式）,情報・通信業
4483,ＪＭＤＣ,プライム（内国株式）,情報・通信業
4485,ＪＴＯＷＥＲ,グロース（内国株式）,情報・通信業
5032,ＡＮＹＣＯＬＯＲ,プライム（内国株式）,情報・通信業
5246,ＥＬＥＭＥＮＴＳ,グロース（内国株式）,情報・通信業
5253,カバー,グロース（内国株式）,情報・通信業
5574,ＡＢＥＪＡ,グロース（内国株式）,情報・通信業
5595,ＱＰＳ研究所,グロース（内国株式）,精密機器
6030,アドベンチャー,グロース（内国株式）,サービス業
6526,ソシオネクスト,プライム（内国株式）,電気機器
6920,レーザーテック,プライム（内国株式）,電気機器
7011,三菱重工業,プライム（内国株式）,機械
7342,ウェルスナビ,グロース（内国株式）,証券、商品先物取引業
7707,ＰＳＳ,グロース（内国株式）,精密機器
9166,ＧＥＮＤＡ,グロース（内国株式）,サービス業
9501,東京電力ＨＤ,プライム（内国株式）,電気・ガス業
